Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
1502:Alcochete;19143;3132;2269;10335;3407;9204;1560;1159;4985;1500;9939;1572;1110;5350;1907
1503:Almada;177238;24219;18681;92153;42185;83208;12491;9587;43309;17821;94030;11728;9094;48844;24364
1115:Amadora;171454;24351;18058;90958;38087;79393;12386;9059;42356;15592;92061;11965;8999;48602;22495
1504:Barreiro;78345;10323;8203;39794;20025;36702;5279;4123;18865;8435;41643;5044;4080;20929;11590
1105:Cascais;214124;31037;23515;111111;48461;99766;16007;12107;51639;20013;114358;15030;11408;59472;28448
1106:Lisboa;545796;71220;55069;291739;127768;254179;36718;27794;140464;49203;291617;34502;27275;151275;78565
1107:Loures;201590;29623;21732;105929;44306;95120;15306;11063;49958;18793;106470;14317;10669;55971;25513
1109:Mafra;86515;14177;9794;47169;15375;41916;7228;4997;22927;6764;44599;6949;4797;24242;8611
1506:Moita;66255;9809;7370;34562;14514;31348;5066;3785;16299;6198;34907;4743;3585;18263;8316
1507:Montijo;55682;9013;5810;30414;10445;27053;4706;2992;14966;4389;28629;4307;2818;15448;6056
1116:Odivelas;148034;22336;15301;79485;30912;69724;11322;7775;37579;13048;78310;11014;7526;41906;17864
1110:Oeiras;171658;24317;17864;88229;41248;79581;12577;9167;40971;16866;92077;11740;8697;47258;24382
1508:Palmela;68852;9994;7731;36563;14564;33165;5061;3999;17833;6272;35687;4933;3732;18730;8292
1510:Seixal;166507;24494;18067;88109;35837;78624;12495;9192;41157;15780;87883;11999;8875;46952;20057
1511:Sesimbra;52384;7829;5760;28109;10686;25435;3995;2985;13551;4904;26949;3834;2775;14558;5782
1512:Setúbal;123496;17516;13504;63983;28493;58558;8997;6882;30360;12319;64938;8519;6622;33623;16174
1111:Sintra;385606;56903;46623;213195;68885;181792;28890;23461;100356;29085;203814;28013;23162;112839;39800
1114:Vila Franca de Xira;137529;20920;15227;75958;25424;65678;10839;7646;36049;11144;71851;10081;7581;39909;14280
