Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
1101:Alenquer;44442;6663;4958;23833;8988;21578;3421;2595;11627;3935;22864;3242;2363;12206;5053
1102:Arruda dos Vinhos;13992;2293;1647;7338;2714;6835;1180;892;3592;1171;7157;1113;755;3746;1543
1104:Cadaval;13372;1535;1308;6500;4029;6417;782;676;3173;1786;6955;753;632;3327;2243
1108:Lourinhã;26240;3516;2650;13404;6670;12691;1826;1363;6482;3020;13549;1690;1287;6922;3650
1112:Sobral de Monte Agraço;10540;1593;1163;5615;2169;5075;813;588;2737;937;5465;780;575;2878;1232
1113:Torres Vedras;83072;10996;8922;44235;18919;40158;5591;4584;21625;8358;42914;5405;4338;22610;10561
1115:Amadora;171454;24351;18058;90958;38087;79393;12386;9059;42356;15592;92061;11965;8999;48602;22495
1105:Cascais;214124;31037;23515;111111;48461;99766;16007;12107;51639;20013;114358;15030;11408;59472;28448
1106:Lisboa;545796;71220;55069;291739;127768;254179;36718;27794;140464;49203;291617;34502;27275;151275;78565
1107:Loures;201590;29623;21732;105929;44306;95120;15306;11063;49958;18793;106470;14317;10669;55971;25513
1109:Mafra;86515;14177;9794;47169;15375;41916;7228;4997;22927;6764;44599;6949;4797;24242;8611
1116:Odivelas;148034;22336;15301;79485;30912;69724;11322;7775;37579;13048;78310;11014;7526;41906;17864
1110:Oeiras;171658;24317;17864;88229;41248;79581;12577;9167;40971;16866;92077;11740;8697;47258;24382
1111:Sintra;385606;56903;46623;213195;68885;181792;28890;23461;100356;29085;203814;28013;23162;112839;39800
1114:Vila Franca de Xira;137529;20920;15227;75958;25424;65678;10839;7646;36049;11144;71851;10081;7581;39909;14280
1103:Azambuja;21421;2801;2234;11339;5047;10701;1424;1112;5969;2196;10720;1377;1122;5370;2851
